split,strategy,sigma,fold,sample_idx,y_true,y_pred,uncertainty,noise_scale,noise_pattern,injected_noise,dataset,model,rep
test,quantile,0.0,0,0,4.94921443639589,3.06628865422529,1.1439063880923799,0.0,2.0,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,1,2.2658923036199097,3.2440535433683624,1.2014170281833534,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,2,2.3661938972838534,3.2440535433683624,1.1362410080856746,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,3,1.7124376534125954,3.2440535433683624,1.0883295977534793,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,4,4.038489155189614,3.058318887198829,1.1535299417566434,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,5,5.093774117059776,3.058318887198829,1.0883295977534793,0.0,2.0,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,6,3.382846915268518,3.0257377000555494,1.0856499711958487,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,7,2.700755549427108,3.1996450899431763,1.2134478692902473,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,8,4.754529524453969,3.1977278030485894,1.0883295977534793,0.0,2.0,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,9,0.5278311486028153,3.2440535433683624,1.1031033535550754,0.0,2.0,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,10,2.539134774397901,3.2837725393154003,1.143657185622196,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,11,1.680130479223163,3.2440535433683624,1.0856499711958487,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,12,1.946569898494354,3.2141084720446367,1.2020960488660377,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,13,3.0506564960587115,3.058318887198829,1.0883295977534793,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,14,3.6993782564589868,3.058318887198829,1.1031033535550754,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,15,4.373668451807537,3.058318887198829,1.1362410080856746,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,16,3.6029932066822417,3.058318887198829,1.1182633193202112,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,17,2.1795265689908003,3.058318887198829,1.1031033535550754,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,18,1.8770766788891176,3.285166432023652,1.0883295977534793,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,19,2.175392759856481,3.1451345324794278,1.0883295977534793,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,20,2.1945046429958173,3.2611162148149866,1.1031033535550754,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,21,2.984802481297318,3.2574306514462594,1.1153554395856073,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,22,1.6592275816376667,3.2574306514462594,1.193067955304362,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,23,3.2812988373805108,3.2611162148149866,1.0883295977534793,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,24,4.991762612531844,3.2574306514462594,1.1535299417566434,0.0,2.0,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,25,1.9348452430981966,3.2440535433683624,1.1182633193202112,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,26,3.2290985816009594,3.2440535433683624,1.1182633193202112,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,27,5.5203061637746105,3.0257377000555494,1.0856499711958487,0.0,2.0,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,28,1.6289781623734318,3.2440535433683624,1.1362410080856746,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,29,2.749326919950266,3.071695995276726,1.1362410080856746,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,30,3.703947829418637,3.2160257589392236,1.2256473137031787,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,31,4.062169397124873,3.2440535433683624,1.1362410080856746,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,32,2.0947224708040166,3.2440535433683624,1.0883295977534793,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,33,4.503441786279946,3.058318887198829,1.1031033535550754,0.0,2.0,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,34,2.642288597876741,2.9957926287318237,1.2256473137031787,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,35,3.5862217758449964,3.2440535433683624,1.0856499711958487,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,36,2.909313944374733,3.2818552524208133,1.1079752735692263,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,37,4.823780179706638,3.2440535433683624,1.0856499711958487,0.0,2.0,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,38,2.3946409644642586,3.2574306514462594,1.1362410080856746,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,39,3.1920444833373964,3.296646813937524,1.1102641928879107,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,40,4.05140270533947,3.2574306514462594,1.1362410080856746,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,41,3.3787619366899264,3.0257377000555494,1.0856499711958487,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,42,2.6325551848459536,3.2440535433683624,1.1362410080856746,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,43,3.9935695711286954,3.2611162148149866,1.0883295977534793,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,44,2.733206228867569,3.058318887198829,1.1031033535550754,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,45,2.759090317284003,3.058318887198829,1.1031033535550754,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,46,3.223873669185941,3.2440535433683624,1.1362410080856746,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,47,3.4920619766499077,3.2440535433683624,1.1362410080856746,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,48,3.2379596641521236,3.2440535433683624,1.1031033535550754,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,49,2.1952052564531632,3.2141084720446367,1.322249035317203,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,50,3.2221877009807325,3.2574306514462594,1.1362410080856746,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,51,3.0928080820182715,3.2574306514462594,1.1362410080856746,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,52,2.255998987262245,3.2574306514462594,1.2020960488660377,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,53,3.837638440886663,3.1470518193740147,1.2657091578299404,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,54,2.463445722256802,3.1572779876600228,1.1985792160145539,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,55,3.48418997014896,3.2593479383408464,1.1102641928879107,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,56,3.2032589196704015,3.058318887198829,1.1210234429036656,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,57,2.6805377927956533,3.2574306514462594,1.1248341185479735,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,58,3.03913745603203,3.071695995276726,1.1362410080856746,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,59,4.01539277710204,3.2440535433683624,1.1182633193202112,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,60,1.9685808710016164,3.2440535433683624,1.0883295977534793,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,61,3.420655174396929,3.2574306514462594,1.1362410080856746,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,62,2.9535653888807385,3.1862474211347176,1.1031033535550754,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,63,1.0610731743560464,3.058318887198829,1.1362410080856746,0.0,2.0,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,64,4.345701249882797,3.058318887198829,1.1362410080856746,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,65,3.4906806455241934,3.0122470516215722,1.2574027830818115,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,66,2.0698060569970087,3.2440535433683624,1.1362410080856746,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,67,5.3605220991056814,3.2440535433683624,1.1031033535550754,0.0,2.0,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,68,0.7704217626638976,3.2440535433683624,1.0856499711958487,0.0,2.0,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,69,2.7828956375062193,3.071695995276726,1.1362410080856746,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,70,2.275295246648091,3.058318887198829,1.1182633193202112,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,71,1.523930237199646,3.06628865422529,1.0856499711958487,0.0,2.0,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,72,3.6606449951714586,3.2440535433683624,1.1775497077675168,0.0,0.1,0.0,TINY,NGBoost,PDV
test,quantile,0.0,0,73,3.951368239103217,3.2459708302629493,1.1608953524287393,0.0,0.1,0.0,TINY,NGBoost,PDV
