split,record_index,canonical_smiles,y_clean_raw,epsilon_raw,noise_scale_raw,noise_pattern_raw,y_noisy_raw,y_written
train,0,COC1C(O)C1(C)OC,7.956609249e0,-2.858595848e-1,6.451628208e-1,1.290325642e0,7.670749664e0,5.886335969e-1
train,1,Cc1[nH]cnc1C1CN1,6.264060974e0,6.894903183e-1,6.451628208e-1,1.290325642e0,6.953551292e0,3.280624375e-2
train,2,C1C2C3CC4C1C2CC34,9.679089546e0,-3.214938641e-1,6.451628208e-1,1.290325642e0,9.357595444e0,1.895935893e0
train,3,CC(C)C12CC=CC1N2,6.342973709e0,1.047793746e0,6.451628208e-1,1.290325642e0,7.390767574e0,3.716480136e-1
train,4,CC1(c2cnoc2)CC1,6.582434177e0,-5.352602005e-1,6.451628208e-1,1.290325642e0,6.047173977e0,-6.696344614e-1
train,5,C#CC1(COC)CC1,8.051848412e0,-7.312589884e-1,6.451628208e-1,1.290325642e0,7.320589542e0,3.172601759e-1
train,6,C#CCC1C2CC(O)C12,8.364779472e0,3.685400784e-1,6.451628208e-1,1.290325642e0,8.733319283e0,1.412123084e0
train,7,CC1OC(C)(C#N)C1=O,5.921197414e0,-4.278327823e-1,6.451628208e-1,1.290325642e0,5.493364811e0,-1.098835468e0
train,8,Cn1nccc1N1CC1,6.568828583e0,-6.732079387e-1,6.451628208e-1,1.290325642e0,5.895620823e0,-7.870878577e-1
train,9,CCC1CCOC1OC,9.208333015e0,-7.422766089e-1,6.451628208e-1,1.290325642e0,8.466056824e0,1.204995155e0
train,10,CC1C=CC(=O)OC1C,5.904870510e0,-9.499064684e-1,6.451628208e-1,1.290325642e0,4.954964161e0,-1.516094923e0
train,11,[NH-]C1OCC23COC12C3,7.004210949e0,-9.740491211e-2,6.451628208e-1,1.290325642e0,6.906805992e0,-3.421274247e-3
train,12,COC(C=O)C(F)(F)F,6.032763958e0,6.198658422e-2,6.451628208e-1,1.290325642e0,6.094750404e0,-6.327627897e-1
train,13,CC12OCC3[CH-]CC1C32,5.409623623e0,-2.056265920e-1,6.451628208e-1,1.290325642e0,5.203997135e0,-1.323094845e0
train,14,OCCC12CCC1O2,8.821931839e0,-4.390358627e-1,6.451628208e-1,1.290325642e0,8.382896423e0,1.140545964e0
train,15,CC#CC1CC1(O)C#N,6.925297737e0,-2.487439066e-1,6.451628208e-1,1.290325642e0,6.676553726e0,-1.818663478e-1
train,16,[NH-]C1N=CC=NC(=O)O1,4.680358410e0,-4.496483207e-1,6.451628208e-1,1.290325642e0,4.230710030e0,-2.077390432e0
train,17,C1=NC2CC(O1)C1CC21,7.314420223e0,6.373986006e-1,6.451628208e-1,1.290325642e0,7.951818943e0,8.064617515e-1
train,18,N#CC1CCC(=O)C1,6.046370029e0,-2.484506369e-1,6.451628208e-1,1.290325642e0,5.797919273e0,-8.628063798e-1
train,19,CCOc1cnoc1,6.119840622e0,3.851077557e-1,6.451628208e-1,1.290325642e0,6.504948616e0,-3.148599863e-1
train,20,C[NH2+]C(C)OC(C)(C)C,7.366122246e0,-1.198048711e0,6.451628208e-1,1.290325642e0,6.168073654e0,-5.759374499e-1
train,21,CC(O)C1(C)CC1CO,8.732133865e0,1.285793483e-1,6.451628208e-1,1.290325642e0,8.860713005e0,1.510852933e0
train,22,CC1C2C(=O)C[NH+]12,5.929360867e0,-1.316258550e0,6.451628208e-1,1.290325642e0,4.613102436e0,-1.781037092e0
train,23,OCC1C2C=CCC21,6.677673817e0,6.312572956e-1,6.451628208e-1,1.290325642e0,7.308931351e0,3.082251251e-1
train,24,CC1CC2C3C1CC23C,4.688521862e0,1.566345811e0,6.451628208e-1,1.290325642e0,6.254867554e0,-5.086722970e-1
train,25,CC12OC3CCC1C32O,7.894023418e0,-7.801540494e-1,6.451628208e-1,1.290325642e0,7.113869190e0,1.570523083e-1
train,26,Nc1cc(OC=O)c[nH]1,5.752487183e0,-1.323747396e0,6.451628208e-1,1.290325642e0,4.428739548e0,-1.923918009e0
train,27,CC1=CC(=O)OCCC1,5.970178127e0,-4.345870316e-1,6.451628208e-1,1.290325642e0,5.535591125e0,-1.066110134e0
train,28,CC12CC3(O)CC1OC32,8.381106377e0,-1.105914950e0,6.451628208e-1,1.290325642e0,7.275191307e0,2.820766270e-1
train,29,C#CC1(C)CC1NC=O,6.985162735e0,1.790260077e-1,6.451628208e-1,1.290325642e0,7.164188862e0,1.960499585e-1
train,30,O1C2C3C2C2C4C1C4C32,7.815110207e0,-7.748220861e-2,6.451628208e-1,1.290325642e0,7.737627983e0,6.404641867e-1
train,31,CC12C3OC4C3C1(O)C42,8.351174355e0,-7.782173753e-1,6.451628208e-1,1.290325642e0,7.572957039e0,5.128445029e-1
train,32,CCCC1(C=O)CN1,6.079023361e0,-4.861541390e-1,6.451628208e-1,1.290325642e0,5.592869282e0,-1.021719694e0
train,33,COCC(C#N)NC=O,7.553880215e0,-5.852584839e-1,6.451628208e-1,1.290325642e0,6.968621731e0,4.448580369e-2
train,34,CC(OC=O)C(O)CO,7.643678188e0,-3.818311393e-1,6.451628208e-1,1.290325642e0,7.261847019e0,2.717348337e-1
train,35,CC1C2OCC3C2[NH+]13,8.596076965e0,-1.051146150e0,6.451628208e-1,1.290325642e0,7.544930935e0,4.911243320e-1
train,36,Cc1n[nH]c2occc12,6.147051811e0,-7.266879678e-1,6.451628208e-1,1.290325642e0,5.420363903e0,-1.155411005e0
train,37,C[NH2+]C1OC(CO)C1C,7.523947716e0,-2.263564467e-1,6.451628208e-1,1.290325642e0,7.297591209e0,2.994365096e-1
train,38,CC12CC(C#N)=CC1N2,5.287172318e0,-1.196340099e-1,6.451628208e-1,1.290325642e0,5.167538166e0,-1.351350546e0
train,39,COC(C(C)C)C1CO1,8.977036476e0,1.369992178e-2,6.451628208e-1,1.290325642e0,8.990736008e0,1.611620545e0
train,40,CC1CC2OC([NH-])C12O,7.559322834e0,9.266330004e-1,6.451628208e-1,1.290325642e0,8.485956192e0,1.220417142e0
train,41,CC12C3C(O)C1(O)C[NH+]32,7.804225445e0,-6.283827424e-1,6.451628208e-1,1.290325642e0,7.175842762e0,2.050817013e-1
train,42,N#CC1COC2C(O)C12,7.643678188e0,-6.459197402e-1,6.451628208e-1,1.290325642e0,6.997758389e0,6.706666201e-2
