split,record_index,canonical_smiles,y_clean_raw,epsilon_raw,noise_scale_raw,noise_pattern_raw,y_noisy_raw,y_written
train,0,COC1C(O)C1(C)OC,7.956609249e0,-6.714650631e0,3.511057854e0,2.340705156e0,1.241958618e0,-4.407068253e0
train,1,Cc1[nH]cnc1C1CN1,6.264060974e0,-4.831546545e-1,3.511057854e0,2.340705156e0,5.780906200e0,-8.508598804e-1
train,2,C1C2C3CC4C1C2CC34,9.679089546e0,5.540222526e-1,1.170352459e0,7.802349925e-1,1.023311138e1,2.637387037e0
train,3,CC#CC1NCC12CO2,7.349795341e0,2.639017344e0,1.170352459e0,7.802349925e-1,9.988812447e0,2.445981741e0
train,4,CC(C)C12CC=CC1N2,6.342973709e0,2.811862528e-1,1.170352459e0,7.802349925e-1,6.624159813e0,-1.901812404e-1
train,5,CC1(c2cnoc2)CC1,6.582434177e0,-2.817121446e-1,1.170352459e0,7.802349925e-1,6.300722122e0,-4.435906112e-1
train,6,C#CC1(COC)CC1,8.051848412e0,-4.790994167e0,3.511057854e0,2.340705156e0,3.260854244e0,-2.825289011e0
train,7,C#CCC1C2CC(O)C12,8.364779472e0,-1.894820690e0,3.511057854e0,2.340705156e0,6.469958782e0,-3.109958172e-1
train,8,Cn1nccc1N1CC1,6.568828583e0,-1.587680578e0,1.170352459e0,7.802349925e-1,4.981147766e0,-1.477460504e0
train,9,CCC1CCOC1OC,9.208333015e0,-1.101653099e0,1.170352459e0,7.802349925e-1,8.106679916e0,9.713546038e-1
train,10,CC1C=CC(=O)OC1C,5.904870510e0,-1.551645517e0,1.170352459e0,7.802349925e-1,4.353224754e0,-1.969430327e0
train,11,[NH-]C1OCC23COC12C3,7.004210949e0,-1.016970634e0,1.170352459e0,7.802349925e-1,5.987240314e0,-6.891996861e-1
train,12,COC(C=O)C(F)(F)F,6.032763958e0,6.841637939e-2,1.170352459e0,7.802349925e-1,6.101180553e0,-5.999289155e-1
train,13,CC#CC1CC1(O)C#N,6.925297737e0,2.581256390e0,3.511057854e0,2.340705156e0,9.506553650e0,2.068138123e0
train,14,[NH-]C1N=CC=NC(=O)O1,4.680358410e0,-1.317550302e0,1.170352459e0,7.802349925e-1,3.362808228e0,-2.745409250e0
train,15,N#CC1CCC(=O)C1,6.046370029e0,6.518879533e-1,1.170352459e0,7.802349925e-1,6.698257923e0,-1.321263015e-1
train,16,CCOc1cnoc1,6.119840622e0,-2.053472996e0,1.170352459e0,7.802349925e-1,4.066367626e0,-2.194179296e0
train,17,C[NH2+]C(C)OC(C)(C)C,7.366122246e0,6.108686328e-3,1.170352459e0,7.802349925e-1,7.372231007e0,3.959231377e-1
train,18,CC(O)C1(C)CC1CO,8.732133865e0,1.685810924e0,3.511057854e0,2.340705156e0,1.041794491e1,2.782201767e0
train,19,CC1C2C(=O)C[NH+]12,5.929360867e0,-1.917770356e-1,1.170352459e0,7.802349925e-1,5.737583637e0,-8.848025203e-1
train,20,O=C1C2C3OCC1(O)C32,6.596040249e0,3.175821304e-1,1.170352459e0,7.802349925e-1,6.913622379e0,3.660903871e-2
train,21,CC1CC2C3C1CC23C,4.688521862e0,-2.102941871e-1,1.170352459e0,7.802349925e-1,4.478227615e0,-1.871492147e0
train,22,CC12OC3CCC1C32O,7.894023418e0,1.458821535e0,1.170352459e0,7.802349925e-1,9.352845192e0,1.947709441e0
train,23,Nc1cc(OC=O)c[nH]1,5.752487183e0,4.829252884e-2,1.170352459e0,7.802349925e-1,5.800779819e0,-8.352891207e-1
train,24,CC1=CC(=O)OCCC1,5.970178127e0,1.346445680e0,1.170352459e0,7.802349925e-1,7.316623688e0,3.523555100e-1
train,25,CCC(C(C)=O)C(C)O,6.193311214e0,8.833287954e-1,3.511057854e0,2.340705156e0,7.076640129e0,1.643313915e-1
train,26,CC12CC3(O)CC1OC32,8.381106377e0,6.403135657e-1,1.170352459e0,7.802349925e-1,9.021419525e0,1.688041568e0
train,27,C#CC1(C)CC1NC=O,6.985162735e0,4.387888908e-1,3.511057854e0,2.340705156e0,7.423951626e0,4.364455938e-1
train,28,O1C2C3C2C2C4C1C4C32,7.815110207e0,-3.223667145e0,3.511057854e0,2.340705156e0,4.591443062e0,-1.782789230e0
train,29,CCCC1(C=O)CN1,6.079023361e0,-2.349978685e0,3.511057854e0,2.340705156e0,3.729044676e0,-2.458467484e0
train,30,COCC(C#N)NC=O,7.553880215e0,9.188110828e-1,1.170352459e0,7.802349925e-1,8.472691536e0,1.258120179e0
train,31,CC(OC=O)C(O)CO,7.643678188e0,1.905382991e0,1.170352459e0,7.802349925e-1,9.549060822e0,2.101441860e0
train,32,CC1C2OCC3C2[NH+]13,8.596076965e0,1.921525359e0,1.170352459e0,7.802349925e-1,1.051760197e1,2.860281706e0
